id,time,timestamp,strategy,asset,side,price,size,pnl,status,confidence,edge,latency,note
C5LEG-1779223374-ETH,22:43:41,1779223421.267749,coin5min,ETH,YES_LEG,0.4982,5.0,-5.15,LEG1_LOSS,,-0.01,0.0,leg1 expiry | YES only | ref=2116.38 final=2116.07 | fee=0.00 slip=0.15
C5LEG-1779223365-BTC,22:43:30,1779223410.936559,coin5min,BTC,YES_LEG,0.4982,5.0,0.04,WIN,,-0.01,0.0,expiry | ref=76917.67 final=76934.51 outcome=YES | fee=0.00 slip=0.00
C5LEG-1779223353-SOL,22:43:18,1779223398.387237,coin5min,SOL,YES_LEG,0.502,1.25,1.09,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=84.41 final=84.44 | fee=0.00 slip=0.15
C5LEG-1779223329-ETH,22:42:54,1779223374.783582,coin5min,ETH,YES_LEG,0.4982,5.0,-5.15,LEG1_LOSS,,-0.01,0.0,leg1 expiry | YES only | ref=2116.31 final=2116.07 | fee=0.00 slip=0.15
C5LEG-1779223317-BTC,22:42:45,1779223365.0157251,coin5min,BTC,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76912.02 final=76934.51 | fee=0.00 slip=0.15
C5LEG-1779223307-SOL,22:42:33,1779223353.2849917,coin5min,SOL,YES_LEG,0.502,1.25,1.09,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=84.41 final=84.44 | fee=0.00 slip=0.15
C5LEG-1779223284-ETH,22:42:09,1779223329.7304845,coin5min,ETH,YES_LEG,0.4982,5.0,4.89,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2115.80 final=2116.51 | fee=0.00 slip=0.15
C5LEG-1779223270-BTC,22:41:56,1779223316.9666126,coin5min,BTC,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76894.24 final=76948.83 | fee=0.00 slip=0.15
C5LEG-1779223261-SOL,22:41:47,1779223307.7204106,coin5min,SOL,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=84.38 final=84.44 | fee=0.00 slip=0.15
C5LEG-1779223238-ETH,22:41:24,1779223284.2494776,coin5min,ETH,YES_LEG,0.4982,5.0,4.89,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2115.30 final=2116.82 | fee=0.00 slip=0.15
C5LEG-1779223225-BTC,22:41:10,1779223270.6648462,coin5min,BTC,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76880.26 final=76954.01 | fee=0.00 slip=0.15
C5LEG-1779223213-SOL,22:41:01,1779223261.1485257,coin5min,SOL,YES_LEG,0.504,2.5,2.31,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=84.38 final=84.45 | fee=0.00 slip=0.15
C5LEG-1779223191-ETH,22:40:38,1779223238.7099283,coin5min,ETH,YES_LEG,0.4982,5.0,4.89,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2114.86 final=2117.23 | fee=0.00 slip=0.15
C5LEG-1779223177-BTC,22:40:25,1779223225.5110905,coin5min,BTC,YES_LEG,0.4982,5.0,4.89,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76882.88 final=76975.36 | fee=0.00 slip=0.15
C5LEG-1779223167-SOL,22:40:13,1779223213.725944,coin5min,SOL,YES_LEG,0.5072,2.0,1.79,LEG1_WIN,,-0.02,0.0,leg1 expiry | YES only | ref=84.38 final=84.45 | fee=0.00 slip=0.15
C5LEG-1779223145-ETH,22:39:51,1779223191.1883507,coin5min,ETH,YES_LEG,0.4785,5.0,5.3,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2114.26 final=2117.55 | fee=0.00 slip=0.15
C5LEG-1779223132-BTC,22:39:37,1779223177.3704805,coin5min,BTC,YES_LEG,0.4982,5.0,4.89,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76861.74 final=76976.07 | fee=0.00 slip=0.15
C5LEG-1779223120-SOL,22:39:27,1779223167.8241968,coin5min,SOL,YES_LEG,0.5072,4.5,4.22,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=84.35 final=84.44 | fee=0.00 slip=0.15
C5LEG-1779223098-ETH,22:39:05,1779223145.0228777,coin5min,ETH,YES_LEG,0.4982,5.0,4.89,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2113.86 final=2118.22 | fee=0.00 slip=0.15
C5LEG-1779223085-BTC,22:38:52,1779223132.256534,coin5min,BTC,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76837.60 final=76981.04 | fee=0.00 slip=0.15
C5LEG-1779223073-SOL,22:38:40,1779223120.716182,coin5min,SOL,YES_LEG,0.5072,4.5,4.22,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=84.31 final=84.50 | fee=0.00 slip=0.15
C5LEG-1779223053-ETH,22:38:18,1779223098.9323847,coin5min,ETH,YES_LEG,0.4982,5.0,4.89,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2113.45 final=2117.62 | fee=0.00 slip=0.15
C5LEG-1779223039-BTC,22:38:05,1779223085.620232,coin5min,BTC,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76852.67 final=76963.30 | fee=0.00 slip=0.15
C5LEG-1779223026-SOL,22:37:53,1779223073.4756572,coin5min,SOL,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=84.34 final=84.47 | fee=0.00 slip=0.15
